VORP Rank,Tier,Player Name,Position,Team,ML Points,VORP,ADP,Sleeper Score
1,1,Shohei Ohtani,DH,Los Angeles Dodgers,844.2064195179242,392.8194319292375,1.17,0.16999999999999993
2,1,Juan Soto,OF,New York Mets,826.3807211398256,374.60112970754585,3.5,1.5
3,1,Vladimir Guerrero Jr.,1B,Toronto Blue Jays,759.6587164387165,364.55704898228225,18.0,15.0
4,1,Tarik Skubal,SP,Detroit Tigers,734.5495448142914,357.29615939634965,6.0,2.0
5,1,Jose Ramirez,3B,Cleveland Guardians,781.1459372040334,351.4773591149841,5.5,0.5
6,1,Aaron Judge,OF,New York Yankees,800.599767208064,348.82017577578426,1.83,-4.17
7,1,Paul Skenes,SP,Pittsburgh Pirates,708.542579965368,331.28919454742623,8.5,1.5
8,1,Bobby Witt Jr.,SS,Kansas City Royals,782.6255114791043,302.4669159874339,4.0,-4.0
9,1,Garrett Crochet,SP,Boston Red Sox,674.5012926491183,297.2479072311766,11.33,2.33
10,2,Kyle Tucker,OF,Los Angeles Dodgers,736.9053812621679,285.12578982988816,12.17,2.17
11,2,Ronald Acuna Jr.,OF,Atlanta Braves,729.0149834406229,277.2353920083432,7.33,-3.67
12,2,Bryce Harper,1B,Philadelphia Phillies,664.1733210306478,269.07165357421354,41.67,29.67
13,1,Ketel Marte,2B,Arizona Diamondbacks,681.0257968336467,268.79228767700704,24.83,11.829999999999998
14,2,Fernando Tatis Jr.,OF,San Diego Padres,716.5480499603283,264.76845852804854,14.17,0.16999999999999993
15,2,Freddie Freeman,1B,Los Angeles Dodgers,643.2276239109215,248.1259564544872,54.33,39.33
16,2,Bryan Woo,SP,Seattle Mariners,625.0812180081562,247.82783259021443,34.17,18.17
17,2,Corbin Carroll,OF,Arizona Diamondbacks,696.7843428883423,245.00475145606254,14.83,-2.17
18,2,Logan Webb,SP,San Francisco Giants,618.3740932912167,241.12070787327497,43.17,25.17
19,2,Cristopher Sanchez,SP,Philadelphia Phillies,617.8535824295456,240.60019701160383,26.33,7.329999999999998
20,2,Pete Alonso,1B,Baltimore Orioles,632.1368205209253,237.03515306449106,28.33,8.329999999999998
21,2,Maikel Garcia,3B,Kansas City Royals,659.5053323858144,229.8367542967651,69.83,48.83
22,2,Julio Rodriguez,OF,Seattle Mariners,681.4451469924859,229.66555556020614,11.5,-10.5
23,2,Vinnie Pasquantino,1B,Kansas City Royals,622.0224393589406,226.92077190250632,78.17,55.17
24,2,Yordan Alvarez,DH,Houston Astros,676.0229130133674,224.6359254246807,31.67,7.670000000000002
25,2,Kyle Schwarber,DH,Philadelphia Phillies,674.0464232114585,222.6594356227718,18.5,-6.5
26,2,Chris Sale,SP,Atlanta Braves,596.8437619013296,219.59037648338784,38.5,12.5
27,2,Hunter Brown,SP,Houston Astros,594.9844193921108,217.73103397416907,34.0,7.0
28,2,Josh Naylor,1B,Seattle Mariners,611.7996434495692,216.69797599313495,61.17,33.17
29,2,Matt Olson,1B,Atlanta Braves,610.4835704401687,215.38190298373445,39.17,10.170000000000002
30,2,Logan Gilbert,SP,Seattle Mariners,591.3020533118557,214.048667893914,35.83,5.829999999999998
31,2,Junior Caminero,3B,Tampa Bay Rays,642.6653561470207,212.99677805797137,16.33,-14.670000000000002
32,1,Nico Hoerner,2B,Chicago Cubs,624.3310759141659,212.09756675752624,84.5,52.5
33,2,Max Fried,SP,New York Yankees,586.8271310755579,209.57374565761614,42.5,9.5
34,2,Luis Arraez,1B,San Francisco Giants,603.1467271514156,208.04505969498132,229.0,195.0
35,2,Jesus Luzardo,SP,Philadelphia Phillies,582.1764792253664,204.92309380742466,69.83,34.83
36,1,Brice Turang,2B,Milwaukee Brewers,616.4847972276402,204.25128807100054,49.5,13.5
37,2,Framber Valdez,SP,Detroit Tigers,579.6127703075643,202.35938488962262,70.0,33.0
38,2,Gunnar Henderson,SS,Baltimore Orioles,681.6016204831844,201.44302499151405,16.83,-21.17
39,2,Alex Bregman,3B,Chicago Cubs,629.692606552508,200.02402846345865,79.67,40.67
40,2,Yoshinobu Yamamoto,SP,Los Angeles Dodgers,577.0751489891322,199.8217635711905,22.67,-17.33
41,1,Gleyber Torres,2B,Detroit Tigers,609.8232553396459,197.58974618300624,188.17,147.17
42,2,Jacob deGrom,SP,Texas Rangers,574.3837829835518,197.13039756561005,49.0,7.0
43,2,Rafael Devers,DH,San Francisco Giants,647.8375740464944,196.45058645780767,46.5,3.5
44,1,Jazz Chisholm Jr.,2B,New York Yankees,604.874313158041,192.6408040014013,25.67,-18.33
45,2,Manny Machado,3B,San Diego Padres,622.2582821987288,192.58970410967947,29.17,-15.829999999999998
46,2,Joe Ryan,SP,Minnesota Twins,568.6963003553154,191.4429149373737,70.17,24.17
47,2,Dylan Cease,SP,Toronto Blue Jays,565.9806570118338,188.7272715938921,70.33,23.33
48,3,Jackson Chourio,OF,Milwaukee Brewers,640.1836288347337,188.40403740245392,24.5,-23.5
49,2,Cole Ragans,SP,Kansas City Royals,565.3866447485017,188.13325933055995,50.33,1.3299999999999983
50,2,Nick Kurtz,1B,Athletics,582.9273159978072,187.82564854137297,24.33,-25.67
51,2,Brent Rooker,DH,Athletics,639.0626684455558,187.67568085686906,41.17,-9.829999999999998
52,1,Cal Raleigh,C,Seattle Mariners,620.8284190878074,187.02156920780544,13.83,-38.17
53,3,Wyatt Langford,OF,Texas Rangers,638.5401308449445,186.7605394126648,52.67,-0.3299999999999983
54,2,Yandy Diaz,DH,Tampa Bay Rays,635.3097840358587,183.92279644717195,128.17,74.16999999999999
55,2,Mookie Betts,SS,Los Angeles Dodgers,663.1723512564907,183.01375576482036,44.0,-11.0
56,3,Steven Kwan,OF,Cleveland Guardians,631.5262312156312,179.7466397833515,136.17,80.16999999999999
57,2,Elly De La Cruz,SS,Cincinnati Reds,659.8728392660489,179.71424377437853,11.33,-45.67
58,2,Jose Altuve,2B,Houston Astros,589.2694542238492,177.03594506720947,89.17,31.17
59,3,Alec Burleson,1B,St. Louis Cardinals,571.5660283947121,176.46436093827788,171.5,112.5
60,3,Nolan Schanuel,1B,Los Angeles Angels,569.7612507400527,174.65958328361842,315.5,255.5
61,2,George Kirby,SP,Seattle Mariners,550.4206532609933,173.16726784305155,64.0,3.0
62,2,Xavier Edwards,2B,Miami Marlins,585.1769401195055,172.94343096286582,170.0,108.0
63,2,Nick Pivetta,SP,San Diego Padres,547.9165345180924,170.66314910015063,83.83,20.83
64,1,William Contreras,C,Milwaukee Brewers,604.3975618060485,170.59071192604654,51.33,-12.670000000000002
65,2,Matt Chapman,3B,San Francisco Giants,597.6514681321607,167.9828900431114,134.33,69.33000000000001
66,2,Bryson Stott,2B,Philadelphia Phillies,580.1088721107767,167.87536295413702,194.17,128.17
67,2,Kevin Gausman,SP,Toronto Blue Jays,545.0018356684294,167.74845025048768,95.0,28.0
68,3,Ben Rice,1B,New York Yankees,562.8145348483561,167.7128673919218,62.17,-5.829999999999998
69,2,Sonny Gray,SP,Boston Red Sox,544.5610853385006,167.30769992055883,112.67,43.67
70,2,Trea Turner,SS,Philadelphia Phillies,646.858377616331,166.69978212466066,34.0,-36.0
71,3,Jarren Duran,OF,Boston Red Sox,618.2536888523415,166.47409742006175,59.0,-12.0
72,3,George Springer,DH,Toronto Blue Jays,615.2483542731414,163.8613666844547,77.17,5.170000000000002
73,2,Freddy Peralta,SP,New York Mets,540.8722865740459,163.6189011561042,53.17,-19.83
74,2,Geraldo Perdomo,SS,Arizona Diamondbacks,642.4853657055544,162.326770213884,63.83,-10.170000000000002
75,2,Francisco Lindor,SS,New York Mets,641.242487860578,161.08389236890758,24.67,-50.33
76,3,Spencer Torkelson,1B,Detroit Tigers,555.5978697040304,160.4962022475961,172.0,96.0
77,3,Randy Arozarena,OF,Seattle Mariners,611.1873935876229,159.40780215534312,78.5,1.5
78,3,James Wood,OF,Washington Nationals,610.6813531285918,158.90176169631206,40.17,-37.83
79,3,Michael Busch,1B,Chicago Cubs,551.782670089203,156.6810026327687,113.5,34.5
80,2,Luke Keaschall,2B,Minnesota Twins,568.0517297150649,155.8182205584252,116.0,36.0
81,2,Ozzie Albies,2B,Atlanta Braves,566.5062740231378,154.27276486649816,122.0,41.0
82,2,Marcus Semien,2B,New York Mets,565.5479739569421,153.3144648003024,187.83,105.83000000000001
83,3,Luis Castillo,SP,Seattle Mariners,529.9887645706358,152.73537915269407,133.83,50.83000000000001
84,2,Brendan Donovan,2B,Seattle Mariners,564.9393862831806,152.70587712654094,218.5,134.5
85,3,Roman Anthony,OF,Boston Red Sox,604.2625967359814,152.4830053037017,50.17,-34.83
86,3,Seiya Suzuki,DH,Chicago Cubs,603.3200078181301,151.93302022944334,83.67,-2.3299999999999983
87,3,Pete Crow-Armstrong,OF,Chicago Cubs,602.2843910580613,150.50479962578152,32.67,-54.33
88,3,Jackson Merrill,OF,San Diego Padres,599.5541890886906,147.77459765641083,62.83,-25.17
89,3,Ian Happ,OF,Chicago Cubs,599.3267671474298,147.54717571515005,140.33,51.33000000000001
90,3,Austin Riley,3B,Atlanta Braves,576.1631006381864,146.49452254913706,59.67,-30.33
91,3,Cody Bellinger,OF,New York Yankees,598.2119106649986,146.4323192327189,58.67,-32.33
92,3,Tanner Bibee,SP,Cleveland Guardians,523.2058752153705,145.95248979742877,166.83,74.83000000000001
93,3,Miguel Vargas,3B,Chicago White Sox,572.042231560044,142.37365347099467,280.5,187.5
94,3,Jonathan Aranda,1B,Tampa Bay Rays,535.155474955412,140.0538074989778,197.17,103.16999999999999
95,3,Spencer Strider,SP,Atlanta Braves,517.1216858320305,139.86830041408876,101.0,6.0
96,3,Nathan Eovaldi,SP,Texas Rangers,517.0448117405085,139.7914263225668,127.83,31.83
97,3,Brandon Nimmo,OF,Texas Rangers,591.5132783828666,139.73368695058684,123.67,26.67
98,3,Ryan Pepiot,SP,Tampa Bay Rays,516.3976705211835,139.14428510324177,130.5,32.5
99,3,Taylor Ward,OF,Baltimore Orioles,589.3227929733532,137.54320154107347,125.67,26.67
100,3,Michael King,SP,San Diego Padres,514.4922036587445,137.2388182408028,137.0,37.0
