"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2024","Emmanuel Clase","RP","Cleveland Guardians",74.3333333333333,39,5,10,66,47,3,0,609.5
"2024","Ryan Helsley","RP","St. Louis Cardinals",66.3333333333333,50,15,23,79,49,4,0,541.5
"2025","Abner Uribe","RP","Milwaukee Brewers",75.3333333333333,51,14,27,90,7,2,37,530
"2025","Aroldis Chapman","RP","Boston Red Sox",61.3333333333333,28,8,15,85,32,2,4,500
"2024","Nick Martinez","RP","Cincinnati Reds",142.333333333333,128,49,18,116,0,0,7,498.5
"2023","Tanner Scott","RP","Miami Marlins",78,53,20,24,104,12,4,24,498
"2024","Ryan Walker","RP","San Francisco Giants",80,50,17,18,99,10,4,21,493
"2024","Kirby Yates","RP","Texas Rangers",61.6666666666667,23,8,28,85,33,1,2,492.5
"2023","David Bednar","RP","Pittsburgh Pirates",67.3333333333333,53,15,21,80,39,3,0,489
"2023","Nick Pivetta","RP","Boston Red Sox",142.666666666667,110,64,50,183,1,1,2,486
"2023","Felix Bautista","RP","Baltimore Orioles",61,30,10,26,110,33,6,1,483.5
"2024","Tyler Holton","RP","Detroit Tigers",94.3333333333333,57,23,17,77,8,0,15,481.5
"2025","Robert Suarez","RP","San Diego Padres",69.6666666666667,47,23,16,75,40,5,0,481.5
"2024","Raisel Iglesias","RP","Atlanta Braves",69.3333333333333,38,15,13,68,34,4,0,476
"2023","Devin Williams","RP","Milwaukee Brewers",58.6666666666667,26,10,28,87,36,4,0,471
"2025","Andres Munoz","RP","Seattle Mariners",62.3333333333333,36,12,28,83,38,7,0,470.5
"2024","Jason Adam","RP","San Diego Padres",73.6666666666667,40,16,23,81,4,4,31,468.5
"2024","Griffin Jax","RP","Minnesota Twins",71,47,16,15,95,10,6,24,466.5
"2024","Tanner Scott","RP","San Diego Padres",72,45,14,36,84,22,2,11,466
"2024","Cade Smith","RP","Cleveland Guardians",75.3333333333333,51,16,17,103,1,2,28,466
"2023","Alexis Diaz","RP","Cincinnati Reds",67.3333333333333,44,23,36,86,37,3,2,463
"2025","Cade Smith","RP","Cleveland Guardians",73.6666666666667,55,24,19,104,16,6,19,462.5
"2025","Edwin Diaz","RP","New York Mets",66.3333333333333,37,12,21,98,28,3,0,461.5
"2025","Carlos Estevez","RP","Kansas City Royals",66,48,18,22,54,42,6,0,461
"2025","Tony Santillan","RP","Cincinnati Reds",73.6666666666667,53,20,29,75,7,4,33,459.5
"2023","Camilo Doval","RP","San Francisco Giants",67.6666666666667,51,22,26,87,39,8,0,458.5
"2024","Bryan Abreu","RP","Houston Astros",78.3333333333333,59,27,32,103,1,7,38,458.5
"2024","Josh Hader","RP","Houston Astros",71,43,30,25,105,34,4,0,458.5
"2023","Emmanuel Clase","RP","Cleveland Guardians",72.6666666666667,68,26,16,64,44,12,0,457
"2024","Hunter Gaddis","RP","Cleveland Guardians",74.6666666666667,43,13,14,66,0,5,33,456
"2024","Luke Weaver","RP","New York Yankees",84,52,27,26,103,4,0,22,456
"2023","Yennier Cano","RP","Baltimore Orioles",72.6666666666667,60,17,13,65,8,6,31,453
"2025","Ronny Henriquez","RP","Miami Marlins",73,53,18,27,98,7,4,26,452.5
"2025","Jhoan Duran","RP","Philadelphia Phillies",70,58,16,19,80,32,5,1,452
"2023","Michael King","RP","New York Yankees",104.666666666667,88,32,32,127,6,4,8,446
"2023","Bryan Abreu","RP","Houston Astros",72,44,14,31,100,5,4,24,445
"2025","Emilio Pagan","RP","Cincinnati Reds",68.6666666666667,41,22,22,81,32,6,2,445
"2024","Mason Miller","RP","Athletics",65,36,18,21,104,28,3,0,444.5
"2025","Mason Miller","RP","San Diego Padres",61.6666666666667,28,18,28,104,22,4,10,441.5
"2025","Bryan Abreu","RP","Houston Astros",71,51,18,31,105,7,5,25,440.5
"2023","Hector Neris","RP","Houston Astros",68.3333333333333,41,13,31,77,2,1,31,437.5
"2023","Josh Hader","RP","San Diego Padres",56.3333333333333,32,8,30,85,33,5,0,435.5
"2024","Jeff Hoffman","RP","Philadelphia Phillies",66.3333333333333,48,16,16,89,10,3,21,431.5
"2024","David Robertson","RP","Texas Rangers",72,53,24,27,99,2,8,34,429
"2025","David Bednar","RP","New York Yankees",62.6666666666667,46,16,19,86,27,3,4,428
"2024","Robert Suarez","RP","San Diego Padres",65,52,20,16,59,36,6,1,426.5
"2025","Jeremiah Estrada","RP","San Diego Padres",73,58,28,27,108,3,3,30,426.5
"2025","Tyler Rogers","RP","New York Mets",77.3333333333333,66,17,7,48,0,2,32,426
