"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2025","Tarik Skubal","SP","Detroit Tigers",195.333333333333,141,48,33,241,0,0,0,802
"2025","Garrett Crochet","SP","Boston Red Sox",205.333333333333,165,59,46,255,0,0,0,791
"2023","Gerrit Cole","SP","New York Yankees",209,157,61,48,222,0,0,0,774.5
"2024","Tarik Skubal","SP","Detroit Tigers",192,142,51,35,228,0,0,0,762
"2024","Zack Wheeler","SP","Philadelphia Phillies",200,139,57,52,224,0,0,0,762
"2025","Paul Skenes","SP","Pittsburgh Pirates",187.666666666667,136,41,42,216,0,0,0,759.5
"2024","Logan Gilbert","SP","Seattle Mariners",208.666666666667,148,75,37,220,0,0,0,749
"2025","Cristopher Sanchez","SP","Philadelphia Phillies",202,171,56,44,212,0,0,0,738
"2024","Chris Sale","SP","Atlanta Braves",177.666666666667,141,47,39,225,0,0,0,703.5
"2023","Logan Webb","SP","San Francisco Giants",216,201,78,31,194,0,0,0,700
"2025","Hunter Brown","SP","Houston Astros",185.333333333333,133,50,57,206,0,0,0,700
"2023","Blake Snell","SP","San Diego Padres",180,115,45,99,234,0,0,0,695
"2023","Zac Gallen","SP","Arizona Diamondbacks",210,188,81,47,220,0,0,0,687
"2025","Bryan Woo","SP","Seattle Mariners",186.666666666667,137,61,36,198,0,0,0,682
"2024","Seth Lugo","SP","Kansas City Royals",206.666666666667,177,69,48,181,0,0,0,679
"2025","Logan Webb","SP","San Francisco Giants",207,210,74,46,224,0,0,0,677.5
"2023","Spencer Strider","SP","Atlanta Braves",186.666666666667,146,80,58,281,0,0,0,677
"2025","Carlos Rodon","SP","New York Yankees",195.333333333333,132,67,73,203,0,0,0,676
"2023","Luis Castillo","SP","Seattle Mariners",197,160,73,56,219,0,0,0,670.5
"2025","Max Fried","SP","New York Yankees",195.333333333333,164,62,51,189,0,0,0,667
"2025","Yoshinobu Yamamoto","SP","Los Angeles Dodgers",173.666666666667,113,48,59,201,0,0,0,666.5
"2023","Kevin Gausman","SP","Toronto Blue Jays",185,163,65,55,237,0,0,0,656.5
"2024","Dylan Cease","SP","San Diego Padres",189.333333333333,137,73,65,224,0,0,0,655
"2025","Nick Pivetta","SP","San Diego Padres",181.666666666667,129,58,50,190,0,0,0,654.5
