Player Name,Team,Position,ADP
Shohei Ohtani,Los Angeles Dodgers,DH,1.17
Aaron Judge,New York Yankees,OF,1.83
Bobby Witt Jr.,Kansas City Royals,SS,4.0
Juan Soto,New York Mets,OF,3.5
Jose Ramirez,Cleveland Guardians,3B,5.5
Ronald Acuna Jr.,Atlanta Braves,OF,7.33
Elly De La Cruz,Cincinnati Reds,SS,11.33
Julio Rodriguez,Seattle Mariners,OF,11.5
Kyle Tucker,Los Angeles Dodgers,OF,12.17
Fernando Tatis Jr.,San Diego Padres,OF,14.17
Cal Raleigh,Seattle Mariners,C,13.83
Gunnar Henderson,Baltimore Orioles,SS,16.83
Corbin Carroll,Arizona Diamondbacks,OF,14.83
Junior Caminero,Tampa Bay Rays,3B,16.33
Vladimir Guerrero Jr.,Toronto Blue Jays,1B,18.0
Nick Kurtz,Athletics,1B,24.33
Kyle Schwarber,Philadelphia Phillies,DH,18.5
Jackson Chourio,Milwaukee Brewers,OF,24.5
Jazz Chisholm Jr.,New York Yankees,2B,25.67
Francisco Lindor,New York Mets,SS,24.67
Pete Alonso,Baltimore Orioles,1B,28.33
Ketel Marte,Arizona Diamondbacks,2B,24.83
Trea Turner,Philadelphia Phillies,SS,34.0
Manny Machado,San Diego Padres,3B,29.17
Pete Crow-Armstrong,Chicago Cubs,OF,32.67
James Wood,Washington Nationals,OF,40.17
Yordan Alvarez,Houston Astros,DH,31.67
Zach Neto,Los Angeles Angels,SS,51.0
Matt Olson,Atlanta Braves,1B,39.17
Bryce Harper,Philadelphia Phillies,1B,41.67
Rafael Devers,San Francisco Giants,DH,46.5
Brent Rooker,Athletics,DH,41.17
Mookie Betts,Los Angeles Dodgers,SS,44.0
Brice Turang,Milwaukee Brewers,2B,49.5
Wyatt Langford,Texas Rangers,OF,52.67
Freddie Freeman,Los Angeles Dodgers,1B,54.33
Roman Anthony,Boston Red Sox,OF,50.17
William Contreras,Milwaukee Brewers,C,51.33
Josh Naylor,Seattle Mariners,1B,61.17
Jackson Merrill,San Diego Padres,OF,62.83
Austin Riley,Atlanta Braves,3B,59.67
Geraldo Perdomo,Arizona Diamondbacks,SS,63.83
Riley Greene,Detroit Tigers,OF,68.33
Jarren Duran,Boston Red Sox,OF,59.0
Cody Bellinger,New York Yankees,OF,58.67
Ben Rice,New York Yankees,1B,62.17
Maikel Garcia,Kansas City Royals,3B,69.83
CJ Abrams,Washington Nationals,SS,79.67
Shea Langeliers,Athletics,C,66.0
Byron Buxton,Minnesota Twins,OF,78.5
Hunter Goodman,Colorado Rockies,C,81.5
George Springer,Toronto Blue Jays,DH,77.17
Vinnie Pasquantino,Kansas City Royals,1B,78.17
Bo Bichette,New York Mets,SS,83.83
Tyler Soderstrom,Athletics,OF,87.67
Randy Arozarena,Seattle Mariners,OF,78.5
