Player Name,Team,Position,ADP
Tarik Skubal,Detroit Tigers,SP,6.0
Paul Skenes,Pittsburgh Pirates,SP,8.5
Garrett Crochet,Boston Red Sox,SP,11.33
Yoshinobu Yamamoto,Los Angeles Dodgers,SP,22.67
Cristopher Sanchez,Philadelphia Phillies,SP,26.33
Hunter Brown,Houston Astros,SP,34.0
Bryan Woo,Seattle Mariners,SP,34.17
Logan Gilbert,Seattle Mariners,SP,35.83
Chris Sale,Atlanta Braves,SP,38.5
Mason Miller,San Diego Padres,RP,47.67
Edwin Diaz,Los Angeles Dodgers,RP,50.5
Max Fried,New York Yankees,SP,42.5
Logan Webb,San Francisco Giants,SP,43.17
Cole Ragans,Kansas City Royals,SP,50.33
Jacob deGrom,Texas Rangers,SP,49.0
Andres Munoz,Seattle Mariners,RP,60.67
Freddy Peralta,New York Mets,SP,53.17
Hunter Greene,Cincinnati Reds,SP,105.0
Jhoan Duran,Philadelphia Phillies,RP,66.33
Cade Smith,Cleveland Guardians,RP,68.5
George Kirby,Seattle Mariners,SP,64.0
Dylan Cease,Toronto Blue Jays,SP,70.33
Joe Ryan,Minnesota Twins,SP,70.17
Jesus Luzardo,Philadelphia Phillies,SP,69.83
Framber Valdez,Detroit Tigers,SP,70.0
Kyle Bradish,Baltimore Orioles,SP,81.33
Aroldis Chapman,Boston Red Sox,RP,89.33
David Bednar,New York Yankees,RP,92.67
Nick Pivetta,San Diego Padres,SP,83.83
Devin Williams,New York Mets,RP,98.33
Nolan McLean,New York Mets,SP,98.83
Eury Perez,Miami Marlins,SP,100.0
Blake Snell,Los Angeles Dodgers,SP,109.5
Kevin Gausman,Toronto Blue Jays,SP,95.0
Sonny Gray,Boston Red Sox,SP,112.67
Josh Hader,Houston Astros,RP,118.83
Spencer Strider,Atlanta Braves,SP,101.0
Tyler Glasnow,Los Angeles Dodgers,SP,110.83
Jacob Misiorowski,Milwaukee Brewers,SP,115.67
Raisel Iglesias,Atlanta Braves,RP,121.5
Chase Burns,Cincinnati Reds,SP,111.67
Carlos Estevez,Kansas City Royals,RP,122.83
Brandon Woodruff,Milwaukee Brewers,SP,116.17
