Player Name,Team,Position,ADP
Shohei Ohtani,LAD,"SP,DH",1.17
Aaron Judge,NYY,"LF,CF,RF,DH",1.83
Bobby Witt Jr.,KC,SS,4
Juan Soto,NYM,"LF,RF",3.5
Jose Ramirez,CLE,"3B,DH",5.5
Ronald Acuna Jr.,ATL,RF,7.33
Elly De La Cruz,CIN,SS,11.33
Julio Rodriguez,SEA,CF,11.5
Kyle Tucker,LAD,"RF,DH",12.17
Fernando Tatis Jr.,SD,RF,14.17
Cal Raleigh,SEA,"C,DH",13.83
Gunnar Henderson,BAL,SS,16.83
Corbin Carroll,ARI,"CF,RF",14.83
Junior Caminero,TB,3B,16.33
Vladimir Guerrero Jr.,TOR,"1B,DH",18
Nick Kurtz,ATH,1B,24.33
Kyle Schwarber,PHI,"LF,DH",18.5
Jackson Chourio,MIL,"LF,CF,RF",24.5
Jazz Chisholm Jr.,NYY,"2B,3B",25.67
Francisco Lindor,NYM,SS,24.67
Pete Alonso,BAL,1B,28.33
Ketel Marte,ARI,"2B,DH",24.83
Trea Turner,PHI,SS,34
Manny Machado,SD,3B,29.17
Pete Crow-Armstrong,CHC,CF,32.67
James Wood,WSH,"LF,DH",40.17
Yordan Alvarez,HOU,"LF,DH",31.67
Zach Neto,LAA,SS,51
Matt Olson,ATL,1B,39.17
Bryce Harper,PHI,1B,41.67
Rafael Devers,SF,"1B,DH",46.5
Brent Rooker,ATH,"LF,RF,DH",41.17
Mookie Betts,LAD,SS,44
Brice Turang,MIL,2B,49.5
Wyatt Langford,TEX,"LF,CF",52.67
Freddie Freeman,LAD,1B,54.33
Roman Anthony,BOS,"LF,CF,RF",50.17
William Contreras,MIL,"C,DH",51.33
Josh Naylor,SEA,"1B,DH",61.17
Jackson Merrill,SD,CF,62.83
Austin Riley,ATL,3B,59.67
Geraldo Perdomo,ARI,SS,63.83
Riley Greene,DET,"LF,CF,RF,DH",68.33
Jarren Duran,BOS,"LF,CF",59
Cody Bellinger,NYY,"LF,CF,RF",58.67
Ben Rice,NYY,"C,1B,DH",62.17
Maikel Garcia,KC,"2B,3B,SS,OF",69.83
CJ Abrams,WSH,SS,79.67
Shea Langeliers,ATH,C,66
Byron Buxton,MIN,CF,78.5
Hunter Goodman,COL,"C,DH",81.5
George Springer,TOR,"LF,CF,RF,DH",77.17
Vinnie Pasquantino,KC,"1B,DH",78.17
Bo Bichette,NYM,SS,83.83
Tyler Soderstrom,ATH,"1B,LF",87.67
Randy Arozarena,SEA,"LF,CF",78.5
Seiya Suzuki,CHC,"LF,RF,DH",83.67
Corey Seager,TEX,SS,83
Oneil Cruz,PIT,CF,94.5
Eugenio Suarez,CIN,3B,83.33
Alex Bregman,CHC,3B,79.67
Christian Yelich,MIL,"LF,DH",94.33
Nico Hoerner,CHC,2B,84.5
Salvador Perez,KC,"C,1B,DH",99.67
Jose Altuve,HOU,"2B,LF,DH",89.17
Will Smith,LAD,C,111.5
Michael Harris II,ATL,CF,105.67
Jeremy Pena,HOU,SS,111.83
Michael Busch,CHC,1B,113.5
Drake Baldwin,ATL,C,109.5
Agustin Ramirez,MIA,"C,DH",102.83
Kyle Stowers,MIA,"LF,CF,RF",125.83
Willy Adames,SF,SS,110.5
Trevor Story,BOS,SS,128.5
Brandon Nimmo,TEX,"LF,CF",123.67
Teoscar Hernandez,LAD,"LF,RF",115.33
Luke Keaschall,MIN,2B,116
Luis Robert Jr.,NYM,CF,133.83
Jo Adell,LAA,"CF,RF",129.67
Yandy Diaz,TB,"1B,DH",128.17
Jakob Marsee,MIA,"LF,CF",134.33
Taylor Ward,BAL,LF,125.67
Ozzie Albies,ATL,2B,122
Lawrence Butler,ATH,"CF,RF",147.5
Andy Pages,LAD,"LF,CF,RF",136.17
Matt Chapman,SF,3B,134.33
Yainer Diaz,HOU,"C,DH",158.5
Noelvi Marte,CIN,"3B,RF",150.67
Ian Happ,CHC,LF,140.33
Dansby Swanson,CHC,SS,156.17
Steven Kwan,CLE,LF,136.17
Adley Rutschman,BAL,C,163.5
Brandon Lowe,PIT,2B,165.67
Ceddanne Rafaela,BOS,"2B,CF",148.17
Jacob Wilson,ATH,SS,160
Jackson Holliday,BAL,"2B,SS",184.17
Xavier Edwards,MIA,"2B,SS",170
Chandler Simpson,TB,"LF,CF",179
Mike Trout,LAA,"CF,RF,DH",163.17
Alejandro Kirk,TOR,C,184.33
Kazuma Okamoto,TOR,"1B,3B",185.67
Christian Walker,HOU,1B,182.5
Alec Burleson,STL,"1B,LF,RF,DH",171.5
Ivan Herrera,STL,"C,DH",201.33
Colson Montgomery,CWS,"3B,SS",190.67
Isaac Paredes,HOU,3B,190.17
Bryan Reynolds,PIT,"LF,CF,RF,DH",174.5
Bryson Stott,PHI,"2B,SS",194.17
Jordan Westburg,BAL,"2B,3B",206.83
Spencer Torkelson,DET,1B,172
Willson Contreras,BOS,1B,173.5
Jonathan Aranda,TB,1B,197.17
Munetaka Murakami,CWS,"1B,3B",179.17
Konnor Griffin,PIT,"SS,CF",188.83
Dylan Crews,WSH,"CF,RF",212.33
Marcus Semien,NYM,2B,187.83
Daulton Varsho,TOR,"LF,CF",214.5
Jac Caglianone,KC,"1B,RF",212.17
Sal Stewart,CIN,1B,219.5
Addison Barger,TOR,"3B,LF,RF",195.5
Gleyber Torres,DET,2B,188.17
