Player Name,Team,Position,ADP
Tarik Skubal,DET,SP,6
Paul Skenes,PIT,SP,8.5
Garrett Crochet,BOS,SP,11.33
Yoshinobu Yamamoto,LAD,SP,22.67
Cristopher Sanchez,PHI,SP,26.33
Hunter Brown,HOU,SP,34
Bryan Woo,SEA,SP,34.17
Logan Gilbert,SEA,SP,35.83
Chris Sale,ATL,SP,38.5
Mason Miller,SD,RP,47.67
Edwin Diaz,LAD,RP,50.5
Max Fried,NYY,SP,42.5
Logan Webb,SF,SP,43.17
Cole Ragans,KC,SP,50.33
Jacob deGrom,TEX,SP,49
Andres Munoz,SEA,RP,60.67
Freddy Peralta,NYM,SP,53.17
Hunter Greene,CIN,SP,105
Jhoan Duran,PHI,RP,66.33
Cade Smith,CLE,RP,68.5
George Kirby,SEA,SP,64
Dylan Cease,TOR,SP,70.33
Joe Ryan,MIN,SP,70.17
Jesus Luzardo,PHI,SP,69.83
Framber Valdez,DET,SP,70
Kyle Bradish,BAL,SP,81.33
Aroldis Chapman,BOS,RP,89.33
David Bednar,NYY,RP,92.67
Nick Pivetta,SD,SP,83.83
Devin Williams,NYM,RP,98.33
Nolan McLean,NYM,SP,98.83
Eury Perez,MIA,SP,100
Blake Snell,LAD,SP,109.5
Kevin Gausman,TOR,SP,95
Sonny Gray,BOS,SP,112.67
Josh Hader,HOU,RP,118.83
Spencer Strider,ATL,SP,101
Tyler Glasnow,LAD,SP,110.83
Jacob Misiorowski,MIL,SP,115.67
Raisel Iglesias,ATL,RP,121.5
Chase Burns,CIN,"SP,RP",111.67
Carlos Estevez,KC,RP,122.83
Brandon Woodruff,MIL,SP,116.17
Cam Schlittler,NYY,SP,126
Trey Yesavage,TOR,SP,134.67
Ryan Helsley,BAL,RP,136.17
Nick Lodolo,CIN,SP,129.67
Zack Wheeler,PHI,SP,120.5
Nathan Eovaldi,TEX,SP,127.83
Michael King,SD,SP,137
Ryan Pepiot,TB,SP,130.5
Emmet Sheehan,LAD,SP,139.17
Jeff Hoffman,TOR,RP,145.83
Luis Castillo,SEA,SP,133.83
Gavin Williams,CLE,SP,137.33
Emilio Pagan,CIN,RP,155.17
Trevor Megill,MIL,RP,153
MacKenzie Gore,TEX,SP,154
Daniel Palencia,CHC,RP,158.33
Trevor Rogers,BAL,SP,144
Sandy Alcantara,MIA,SP,144.83
Pete Fairbanks,MIA,RP,159.5
Bubba Chandler,PIT,SP,162.67
Drew Rasmussen,TB,SP,162.17
Kenley Jansen,DET,RP,169.83
Ranger Suarez,BOS,SP,157.67
Robbie Ray,SF,SP,160.67
Tatsuya Imai,HOU,SP,183.17
Shota Imanaga,CHC,SP,168
Tanner Bibee,CLE,SP,166.83
Cade Horton,CHC,SP,181
Kris Bubic,KC,SP,209
Andrew Abbott,CIN,SP,191.83
Dennis Santana,PIT,RP,203.5
Edward Cabrera,CHC,SP,207.67
Carlos Rodon,NYY,SP,194.17
Spencer Schwellenbach,ATL,SP,228.17
Abner Uribe,MIL,RP,228.5
Robert Suarez,ATL,RP,213.67
Shane Baz,BAL,SP,226.5
Ryan Walker,SF,RP,214.5
Matthew Boyd,CHC,SP,196.17
Jack Flaherty,DET,SP,197.5
Gerrit Cole,NYY,SP,218.67
Zac Gallen,ARI,SP,194.5
Griffin Jax,TB,RP,225.67
Shane Bieber,TOR,SP,227.17
Aaron Nola,PHI,SP,207.67
Shane McClanahan,TB,SP,226.17
Joe Musgrove,SD,SP,243.5
Bryan Abreu,HOU,RP,241.5
Merrill Kelly,ARI,SP,245.17
Roki Sasaki,LAD,SP,246.17
Noah Cameron,KC,SP,259.67
Jack Leiter,TEX,SP,266.83
Quinn Priester,MIL,"SP,RP",271.17
Seranthony Dominguez,CWS,RP,278.67
Kodai Senga,NYM,SP,273.17
Ryne Nelson,ARI,"SP,RP",258.5
Connelly Early,BOS,SP,279.33
Bryce Miller,SEA,SP,279.17
Shane Smith,CWS,SP,280.17
Logan Henderson,MIL,SP,289.83
Bailey Ober,MIN,SP,282.8
Robert Garcia,TEX,RP,296.33
Clay Holmes,NYM,SP,295.5
Casey Mize,DET,SP,276.33
Will Vest,DET,RP,301.33
Cody Ponce,TOR,"SP,RP",298.5
Braxton Ashcraft,PIT,"SP,RP",297.33
Luis Gil,NYY,SP,301.83
Joey Cantillo,CLE,"SP,RP",302.83
Grayson Rodriguez,LAA,SP,287
Ryan Weathers,NYY,SP,284.33
Chris Bassitt,BAL,SP,307.83
Brady Singer,CIN,SP,284.33
Brayan Bello,BOS,SP,292.17
Ian Seymour,TB,"SP,RP",305.4
Yusei Kikuchi,LAA,SP,293.67
Sean Manaea,NYM,"SP,RP",295.5
Seth Lugo,KC,SP,309.2
Andrew Painter,PHI,SP,304.83
Jameson Taillon,CHC,SP,322.83
