Player Name,Position,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB),ADP
Aaron Judge,OF,New York Yankees,149,106,325,120,108,18,162,8,1.83
Bobby Witt Jr.,SS,Kansas City Royals,175,104,315,97,48,5,112,37,4.0
Shohei Ohtani,DH,Los Angeles Dodgers,160,122,341,119,91,14,157,26,1.17
Cal Raleigh,C,Seattle Mariners,121,82,262,103,74,7,172,7,13.83
Juan Soto,OF,New York Mets,148,107,287,100,121,9,123,17,3.5
Julio Rodriguez,OF,Seattle Mariners,163,95,285,87,48,4,146,26,11.5
Gunnar Henderson,SS,Baltimore Orioles,156,94,273,80,65,3,140,20,16.83
Fernando Tatis Jr.,OF,San Diego Padres,154,99,277,85,70,3,129,23,14.17
Vladimir Guerrero Jr.,1B,Toronto Blue Jays,173,98,303,98,72,7,87,6,18.0
Corey Seager,SS,Texas Rangers,126,71,236,83,60,8,100,2,83.0
Ketel Marte,2B,Arizona Diamondbacks,148,86,270,95,67,4,101,5,24.83
William Contreras,C,Milwaukee Brewers,138,72,228,81,66,3,119,5,51.33
Yordan Alvarez,DH,Houston Astros,137,83,265,91,69,9,92,3,31.67
Will Smith,C,Los Angeles Dodgers,115,73,212,73,56,2,94,3,111.5
Corbin Carroll,OF,Arizona Diamondbacks,136,96,254,77,63,3,125,34,14.83
Ronald Acuna Jr.,OF,Atlanta Braves,149,102,266,83,82,3,136,26,7.33
Francisco Lindor,SS,New York Mets,140,85,246,76,53,1,115,21,24.67
Jose Ramirez,3B,Cleveland Guardians,156,91,272,84,62,15,72,34,5.5
Kyle Tucker,OF,Los Angeles Dodgers,142,95,261,86,81,6,89,17,12.17
Alejandro Kirk,C,Toronto Blue Jays,115,59,190,62,45,2,59,0,184.33
Wyatt Langford,OF,Texas Rangers,133,87,241,74,70,3,144,20,52.67
Junior Caminero,3B,Tampa Bay Rays,157,82,294,105,42,2,124,5,16.33
Mookie Betts,SS,Los Angeles Dodgers,145,83,240,77,63,1,71,8,44.0
Willy Adames,SS,San Francisco Giants,133,85,250,84,69,2,173,11,110.5
Trea Turner,SS,Philadelphia Phillies,162,86,252,74,40,0,113,25,34.0
Matt Chapman,3B,San Francisco Giants,128,83,241,78,69,1,152,9,134.33
Adley Rutschman,C,Baltimore Orioles,123,66,199,64,61,2,89,1,163.5
Austin Riley,3B,Atlanta Braves,146,82,270,90,48,1,162,2,59.67
Jackson Merrill,OF,San Diego Padres,151,77,258,79,41,2,120,9,62.83
Zach Neto,SS,Los Angeles Angels,141,85,252,75,43,3,158,27,51.0
Elly De La Cruz,SS,Cincinnati Reds,147,92,251,70,58,5,177,41,11.33
Jeremy Pena,SS,Houston Astros,153,79,237,68,36,1,111,17,111.83
Alex Bregman,3B,Chicago Cubs,142,76,242,81,63,1,90,2,79.67
Shea Langeliers,C,Athletics,122,71,236,77,39,1,121,6,66.0
Bryce Harper,1B,Philadelphia Phillies,143,84,252,85,75,8,127,10,41.67
Dansby Swanson,SS,Chicago Cubs,138,79,236,77,51,1,163,15,156.17
Manny Machado,3B,San Diego Padres,148,79,259,86,51,4,121,8,29.17
Pete Crow-Armstrong,OF,Chicago Cubs,137,87,242,67,36,2,154,35,32.67
Xander Bogaerts,SS,San Diego Padres,134,72,208,62,45,1,102,16,263.67
Jazz Chisholm Jr.,2B,New York Yankees,121,85,230,68,56,2,158,31,25.67
Byron Buxton,OF,Minnesota Twins,117,75,230,74,41,2,144,14,78.5
Geraldo Perdomo,SS,Arizona Diamondbacks,141,81,206,55,72,1,89,18,63.83
Pete Alonso,1B,Baltimore Orioles,144,87,281,99,62,4,153,3,28.33
Roman Anthony,OF,Boston Red Sox,141,80,232,73,71,1,147,10,50.17
Gabriel Moreno,C,Arizona Diamondbacks,108,53,162,52,39,2,75,4,229.0
Kyle Schwarber,DH,Philadelphia Phillies,127,94,274,107,98,4,183,6,18.5
Patrick Bailey,C,San Francisco Giants,92,44,140,43,35,0,126,2,400.33
Rafael Devers,DH,San Francisco Giants,140,85,266,93,81,9,155,2,46.5
Oneil Cruz,OF,Pittsburgh Pirates,115,78,218,70,53,3,161,25,94.5
Austin Wells,C,New York Yankees,85,49,159,52,37,1,110,3,253.67
Maikel Garcia,3B,Kansas City Royals,156,82,232,66,52,1,92,25,69.83
Brent Rooker,DH,Athletics,151,90,288,95,60,2,160,7,41.17
Brendan Donovan,2B,Seattle Mariners,132,65,202,63,49,2,78,5,218.5
Nick Kurtz,1B,Athletics,125,84,254,88,71,4,179,3,24.33
Taylor Ward,OF,Baltimore Orioles,136,81,244,82,66,1,155,5,125.67
Bo Bichette,SS,New York Mets,160,74,245,73,35,1,98,6,83.83
Jackson Chourio,OF,Milwaukee Brewers,156,81,258,82,40,3,128,25,24.5
Seiya Suzuki,DH,Chicago Cubs,133,82,246,83,64,2,151,10,83.67
Hunter Goodman,C,Colorado Rockies,132,70,248,88,34,0,146,2,81.5
Otto Lopez,SS,Miami Marlins,141,67,209,60,36,2,88,17,258.17
Yainer Diaz,C,Houston Astros,131,59,212,66,23,1,91,2,158.5
Randy Arozarena,OF,Seattle Mariners,131,88,235,74,65,1,169,24,78.5
Marcus Semien,2B,New York Mets,126,70,214,66,50,0,98,8,187.83
Gleyber Torres,2B,Detroit Tigers,142,75,219,69,70,0,110,7,188.17
