Player Name,Position,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD),ADP
Tarik Skubal,SP,Detroit Tigers,188.0,144,57,38,228,0,0,0,6.0
Paul Skenes,SP,Pittsburgh Pirates,184.1,143,56,46,221,0,0,0,8.5
Garrett Crochet,SP,Boston Red Sox,180.1,144,61,47,221,0,1,0,11.33
Logan Webb,SP,San Francisco Giants,192.2,182,71,44,183,0,0,0,43.17
Cristopher Sanchez,SP,Philadelphia Phillies,185.0,166,66,46,180,0,0,0,26.33
Chris Sale,SP,Atlanta Braves,156.0,128,55,41,192,0,0,0,38.5
Yoshinobu Yamamoto,SP,Los Angeles Dodgers,160.1,130,58,47,174,0,0,0,22.67
Cole Ragans,SP,Kansas City Royals,153.1,122,58,54,190,0,0,0,50.33
Framber Valdez,SP,Detroit Tigers,186.0,165,72,61,173,0,0,0,70.0
Jesus Luzardo,SP,Philadelphia Phillies,175.1,150,71,54,193,0,0,0,69.83
Max Fried,SP,New York Yankees,179.1,157,66,53,170,0,0,0,42.5
Hunter Brown,SP,Houston Astros,178.1,151,69,58,193,0,0,0,34.0
Dylan Cease,SP,Toronto Blue Jays,168.0,140,69,64,199,0,0,0,70.33
Sonny Gray,SP,Boston Red Sox,166.2,153,70,43,176,0,0,0,112.67
Jacob deGrom,SP,Texas Rangers,157.0,129,60,36,177,0,0,0,49.0
Bryan Woo,SP,Seattle Mariners,182.2,150,69,38,184,0,0,0,34.17
Ranger Suarez,SP,Boston Red Sox,164.2,157,67,47,148,0,0,0,157.67
Logan Gilbert,SP,Seattle Mariners,164.1,135,63,37,184,0,0,0,35.83
Joe Ryan,SP,Minnesota Twins,168.0,145,71,39,185,0,0,0,70.17
Kevin Gausman,SP,Toronto Blue Jays,177.2,161,77,51,174,0,0,0,95.0
George Kirby,SP,Seattle Mariners,164.0,150,66,31,160,0,0,0,64.0
Zack Wheeler,SP,Philadelphia Phillies,129.1,105,47,35,149,0,0,0,120.5
Nathan Eovaldi,SP,Texas Rangers,152.2,133,62,37,148,0,0,0,127.83
