Player Name,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB)
Aaron Judge,NYY,149,106,325,120,108,18,162,8
Bobby Witt Jr.,KCR,175,104,315,97,48,5,112,37
Shohei Ohtani,LAD,160,122,341,119,91,14,157,26
Cal Raleigh,SEA,121,82,262,103,74,7,172,7
Juan Soto,NYM,148,107,287,100,121,9,123,17
Julio Rodríguez,SEA,163,95,285,87,48,4,146,26
Gunnar Henderson,BAL,156,94,273,80,65,3,140,20
Fernando Tatis Jr.,SDP,154,99,277,85,70,3,129,23
Vladimir Guerrero Jr.,TOR,173,98,303,98,72,7,87,6
Corey Seager,TEX,126,71,236,83,60,8,100,2
Ketel Marte,ARI,148,86,270,95,67,4,101,5
William Contreras,MIL,138,72,228,81,66,3,119,5
Yordan Alvarez,HOU,137,83,265,91,69,9,92,3
Will Smith,LAD,115,73,212,73,56,2,94,3
Corbin Carroll,ARI,136,96,254,77,63,3,125,34
Ronald Acuña Jr.,ATL,149,102,266,83,82,3,136,26
Francisco Lindor,NYM,140,85,246,76,53,1,115,21
José Ramírez,CLE,156,91,272,84,62,15,72,34
Kyle Tucker,LAD,142,95,261,86,81,6,89,17
Alejandro Kirk,TOR,115,59,190,62,45,2,59,0
Wyatt Langford,TEX,133,87,241,74,70,3,144,20
Junior Caminero,TBR,157,82,294,105,42,2,124,5
Mookie Betts,LAD,145,83,240,77,63,1,71,8
Willy Adames,SFG,133,85,250,84,69,2,173,11
Trea Turner,PHI,162,86,252,74,40,0,113,25
Matt Chapman,SFG,128,83,241,78,69,1,152,9
Adley Rutschman,BAL,123,66,199,64,61,2,89,1
Austin Riley,ATL,146,82,270,90,48,1,162,2
Jackson Merrill,SDP,151,77,258,79,41,2,120,9
Zach Neto,LAA,141,85,252,75,43,3,158,27
Elly De La Cruz,CIN,147,92,251,70,58,5,177,41
Jeremy Peña,HOU,153,79,237,68,36,1,111,17
Alex Bregman,CHC,142,76,242,81,63,1,90,2
Shea Langeliers,ATH,122,71,236,77,39,1,121,6
Bryce Harper,PHI,143,84,252,85,75,8,127,10
Dansby Swanson,CHC,138,79,236,77,51,1,163,15
Manny Machado,SDP,148,79,259,86,51,4,121,8
Pete Crow-Armstrong,CHC,137,87,242,67,36,2,154,35
Xander Bogaerts,SDP,134,72,208,62,45,1,102,16
Jazz Chisholm Jr.,NYY,121,85,230,68,56,2,158,31
Byron Buxton,MIN,117,75,230,74,41,2,144,14
Geraldo Perdomo,ARI,141,81,206,55,72,1,89,18
Pete Alonso,BAL,144,87,281,99,62,4,153,3
Roman Anthony,BOS,141,80,232,73,71,1,147,10
Gabriel Moreno,ARI,108,53,162,52,39,2,75,4
Kyle Schwarber,PHI,127,94,274,107,98,4,183,6
Patrick Bailey,SFG,92,44,140,43,35,0,126,2
Rafael Devers,SFG,140,85,266,93,81,9,155,2
Oneil Cruz,PIT,115,78,218,70,53,3,161,25
Austin Wells,NYY,85,49,159,52,37,1,110,3
Maikel Garcia,KCR,156,82,232,66,52,1,92,25
Brent Rooker,ATH,151,90,288,95,60,2,160,7
Brendan Donovan,SEA,132,65,202,63,49,2,78,5
Nick Kurtz,ATH,125,84,254,88,71,4,179,3
Taylor Ward,BAL,136,81,244,82,66,1,155,5
Bo Bichette,NYM,160,74,245,73,35,1,98,6
Jackson Chourio,MIL,156,81,258,82,40,3,128,25
Seiya Suzuki,CHC,133,82,246,83,64,2,151,10
Hunter Goodman,COL,132,70,248,88,34,0,146,2
Otto Lopez,MIA,141,67,209,60,36,2,88,17
Yainer Diaz,HOU,131,59,212,66,23,1,91,2
Randy Arozarena,SEA,131,88,235,74,65,1,169,24
Marcus Semien,NYM,126,70,214,66,50,0,98,8
Gleyber Torres,DET,142,75,219,69,70,0,110,7
Andy Pages,LAD,134,76,233,76,35,1,126,9
Ben Rice,NYY,118,73,226,71,54,0,112,5
George Springer,TOR,131,82,240,76,56,1,111,12
Miguel Vargas,CHW,125,70,222,71,55,1,110,7
Nico Hoerner,CHC,154,73,203,54,36,1,57,26
Luke Keaschall,MIN,129,68,190,52,46,2,91,20
Brice Turang,MIL,144,77,213,59,57,1,134,31
Trevor Story,BOS,130,74,223,70,36,1,154,22
Freddie Freeman,LAD,146,83,245,82,63,7,112,8
Yandy Díaz,TBR,157,77,251,85,56,1,93,2
Jacob Wilson,ATH,157,66,209,57,29,1,47,5
Bo Naylor,CLE,84,50,153,50,44,1,115,5
Riley Greene,DET,139,80,252,83,58,2,181,4
Ian Happ,CHC,130,80,226,75,77,2,149,8
Kazuma Okamoto,TOR,109,66,205,73,52,2,114,1
Brandon Nimmo,TEX,138,79,236,72,61,1,134,8
Trent Grisham,NYY,99,69,195,65,68,1,130,5
Francisco Alvarez,NYM,85,47,149,52,37,1,116,1
James Wood,WSN,142,82,244,79,72,4,184,17
J.P. Crawford,SEA,125,64,181,55,66,1,115,4
Mike Trout,LAA,101,64,197,69,68,5,152,3
Bryson Stott,PHI,129,70,196,57,47,1,95,22
Ryan Jeffers,MIN,104,56,173,55,45,1,106,2
Jake Cronenworth,SDP,118,67,195,60,60,1,116,5
J.T. Realmuto,PHI,110,58,181,58,31,1,113,8
Carlos Correa,HOU,126,62,193,61,49,2,108,0
Max Muncy,LAD,84,62,166,62,64,2,112,2
Colton Cowser,BAL,105,66,191,62,47,2,162,11
Daulton Varsho,TOR,109,70,211,72,44,1,143,10
Colson Montgomery,CHW,107,62,200,66,45,2,168,4
Jarren Duran,BOS,143,82,242,71,50,1,139,25
Drake Baldwin,ATL,120,59,193,62,44,1,95,0
Wilyer Abreu,BOS,107,63,200,70,49,2,124,9
Ezequiel Tovar,COL,154,74,256,79,31,0,157,10
Iván Herrera,STL,127,68,206,64,51,1,109,7
Jordan Westburg,BAL,95,53,167,50,26,0,92,5
Dillon Dingler,DET,92,43,147,47,24,1,104,2
Jackson Holliday,BAL,108,62,174,49,47,1,108,13
Tyler Soderstrom,ATH,134,75,235,74,50,2,141,6
Teoscar Hernández,LAD,134,78,243,81,36,1,142,6
Jakob Marsee,MIA,116,70,187,52,59,1,127,26
Heliot Ramos,SFG,141,78,243,77,46,1,147,6
Masyn Winn,STL,139,67,206,58,38,0,110,12
Kyle Teel,CHW,102,56,163,48,49,0,124,6
Jose Altuve,HOU,137,74,224,69,50,2,105,11
Munetaka Murakami,CHW,94,77,206,77,81,2,206,12
Salvador Perez,KCR,131,65,240,92,30,4,120,0
Matt McLain,CIN,114,67,196,58,48,1,152,16
Michael Harris II,ATL,139,73,227,67,28,2,113,19
Agustín Ramírez,MIA,115,59,191,64,36,2,103,9
CJ Abrams,WSN,136,74,219,64,38,1,119,30
Cody Bellinger,NYY,132,72,229,68,50,3,93,11
Joey Bart,PIT,66,35,105,35,28,0,88,1
Alec Bohm,PHI,140,62,210,67,35,1,89,3
Matt Olson,ATL,136,81,244,86,81,4,158,1
Lars Nootbaar,STL,108,62,185,59,59,2,104,6
Willson Contreras,BOS,123,71,211,74,51,1,141,5
Michael Busch,CHC,126,74,233,80,58,1,151,3
Andrés Giménez,TOR,124,65,172,47,30,2,98,22
Jonathan Aranda,TBR,129,67,220,76,53,2,137,1
Lawrence Butler,ATH,122,74,215,67,49,1,152,16
Jo Adell,LAA,122,72,236,80,40,1,155,10
Danny Jansen,TEX,59,35,110,37,35,0,80,0
