Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Tarik Skubal,DET,188,144,57,38,228,0,0,0
Paul Skenes,PIT,184.1,143,56,46,221,0,0,0
Garrett Crochet,BOS,180.1,144,61,47,221,0,1,0
Logan Webb,SFG,192.2,182,71,44,183,0,0,0
Cristopher Sánchez,PHI,185,166,66,46,180,0,0,0
Chris Sale,ATL,156,128,55,41,192,0,0,0
Yoshinobu Yamamoto,LAD,160.1,130,58,47,174,0,0,0
Cole Ragans,KCR,153.1,122,58,54,190,0,0,0
Framber Valdez,DET,186,165,72,61,173,0,0,0
Jesús Luzardo,PHI,175.1,150,71,54,193,0,0,0
Max Fried,NYY,179.1,157,66,53,170,0,0,0
Hunter Brown,HOU,178.1,151,69,58,193,0,0,0
Dylan Cease,TOR,168,140,69,64,199,0,0,0
Sonny Gray,BOS,166.2,153,70,43,176,0,0,0
Jacob deGrom,TEX,157,129,60,36,177,0,0,0
Bryan Woo,SEA,182.2,150,69,38,184,0,0,0
Ranger Suarez,BOS,164.2,157,67,47,148,0,0,0
Logan Gilbert,SEA,164.1,135,63,37,184,0,0,0
Joe Ryan,MIN,168,145,71,39,185,0,0,0
Kevin Gausman,TOR,177.2,161,77,51,174,0,0,0
George Kirby,SEA,164,150,66,31,160,0,0,0
Zack Wheeler,PHI,129.1,105,47,35,149,0,0,0
Nathan Eovaldi,TEX,152.2,133,62,37,148,0,0,0
Kyle Bradish,BAL,135.1,116,54,43,146,0,0,0
Chase Burns,CIN,129,108,51,40,152,0,0,0
Freddy Peralta,NYM,162.1,133,68,60,181,0,0,0
Michael King,SDP,155.2,136,64,54,163,0,1,0
Brandon Woodruff,MIL,144.1,122,60,39,153,0,0,0
Drew Rasmussen,TBR,151.1,135,61,39,138,0,0,0
José Soriano,LAA,169.2,151,71,73,157,0,0,0
Eury Pérez,MIA,143.2,119,62,47,160,0,0,0
Nick Pivetta,SDP,167.2,142,73,50,183,0,0,0
Jack Flaherty,DET,156.2,140,70,54,173,0,0,0
MacKenzie Gore,TEX,155.2,137,68,59,175,0,0,0
Blake Snell,LAD,126.1,98,48,54,155,0,0,0
Kris Bubic,KCR,137.1,125,57,45,133,0,1,1
Matthew Boyd,CHC,157.2,144,68,44,144,0,0,0
Shohei Ohtani,LAD,113,90,42,34,134,0,0,0
Spencer Strider,ATL,155,133,68,56,180,0,0,0
Sandy Alcantara,MIA,176,170,81,51,148,0,0,0
Tanner Bibee,CLE,174,159,77,52,163,0,0,0
Aaron Nola,PHI,163.2,154,76,45,161,0,0,0
Andrew Abbott,CIN,164,154,75,51,149,0,0,0
Nick Lodolo,CIN,152,140,68,39,154,0,0,0
Tyler Glasnow,LAD,128.2,102,53,48,151,0,0,0
David Peterson,NYM,159.2,153,70,61,142,0,0,0
Mitch Keller,PIT,175.2,173,84,53,154,0,0,0
Brady Singer,CIN,166,161,81,53,154,0,0,0
Nolan McLean,NYM,151.1,132,62,57,149,0,0,0
Emmet Sheehan,LAD,133.1,110,58,43,152,0,0,0
Luis Castillo,SEA,172,156,74,48,160,0,0,0
Trevor Rogers,BAL,146.1,138,65,47,127,0,0,0
Shane McClanahan,TBR,115,100,47,35,122,0,0,0
Yusei Kikuchi,LAA,165.2,157,78,59,168,0,0,0
Merrill Kelly,ARI,158.1,149,72,47,143,0,0,0
Casey Mize,DET,144.2,141,66,39,126,0,0,0
Trey Yesavage,TOR,131.2,108,56,55,147,0,0,0
Michael Wacha,KCR,162,160,78,48,125,0,0,0
Ryan Pepiot,TBR,166.2,142,75,58,170,0,0,0
Bubba Chandler,PIT,143.1,133,66,51,135,0,0,0
Bailey Ober,MIN,158.1,152,77,37,144,0,0,0
Braxton Ashcraft,PIT,132.2,128,57,42,119,0,1,1
Zac Gallen,ARI,176.1,166,82,57,167,0,0,0
Clay Holmes,NYM,144,138,62,54,119,0,5,0
Grayson Rodriguez,LAA,116.2,106,51,39,123,0,0,0
Shane Baz,BAL,155.1,142,72,52,153,0,0,0
Shota Imanaga,CHC,153.1,140,68,33,140,0,0,0
Gavin Williams,CLE,162.2,142,72,69,166,0,0,0
Robbie Ray,SFG,169.2,150,80,66,176,0,0,0
Edward Cabrera,CHC,133.2,114,59,52,143,0,0,0
Jack Leiter,TEX,162.2,144,77,64,157,0,0,0
Chris Bassitt,BAL,165,161,78,55,150,0,0,0
Joe Musgrove,SDP,126,118,55,33,120,0,0,0
Cody Ponce,TOR,123.2,114,55,40,127,0,0,1
Cam Schlittler,NYY,131.1,116,57,50,131,0,0,0
Braxton Garrett,MIA,115.2,113,52,27,103,0,0,1
Reid Detmers,LAA,135.1,123,64,50,147,0,1,0
Sean Manaea,NYM,133.2,117,62,41,140,0,0,0
Jacob Misiorowski,MIL,139,113,63,63,157,0,0,0
Carlos Rodón,NYY,139.2,118,63,50,148,0,0,0
Zebby Matthews,MIN,123,119,56,32,121,0,0,0
Brayan Bello,BOS,154,150,73,53,126,0,0,0
Shane Smith,CHW,157,139,72,58,154,0,0,0
Foster Griffin,WSN,126.2,120,58,41,115,0,0,0
Tatsuya Imai,HOU,149,133,70,62,148,0,0,0
Brandon Pfaadt,ARI,164,168,82,38,144,0,0,0
Shane Bieber,TOR,102.1,95,42,25,96,0,0,0
Michael McGreevy,STL,137,141,63,33,93,0,0,0
Jameson Taillon,CHC,153,152,75,36,119,0,0,0
Matthew Liberatore,STL,151,150,73,46,124,0,1,0
Taj Bradley,MIN,131,123,64,46,127,0,0,0
Tyler Mahle,SFG,129.1,123,58,40,107,0,0,0
Cade Horton,CHC,127.2,115,55,40,110,0,0,0
Cade Cavalli,WSN,135.1,133,64,48,114,0,0,0
Gerrit Cole,NYY,110.1,98,48,33,111,0,0,0
Steven Matz,TBR,123.2,123,57,34,102,0,1,1
Reynaldo López,ATL,131,122,58,46,129,0,2,1
Quinn Priester,MIL,142,137,65,46,116,0,0,0
Ryne Nelson,ARI,157.1,155,74,43,130,0,0,0
Dustin May,STL,141.2,131,67,53,127,0,0,0
Landen Roupp,SFG,120.2,114,55,48,112,0,0,0
Kodai Senga,NYM,123.2,106,54,53,127,0,0,0
Joey Cantillo,CLE,126,110,55,54,132,0,0,1
Chad Patrick,MIL,140.1,133,67,47,132,0,0,0
Hunter Greene,CIN,75.1,60,31,24,90,0,0,0
Noah Cameron,KCR,146.1,141,69,48,123,0,0,0
Adrian Houser,SFG,140.1,145,68,47,101,0,0,0
Eduardo Rodriguez,ARI,132.1,132,65,47,118,0,0,0
Bryce Miller,SEA,142.1,130,66,41,127,0,0,0
Jeffrey Springs,ATH,160.2,158,81,51,137,0,0,0
Justin Verlander,DET,127.2,124,63,41,107,0,0,0
Simeon Woods Richardson,MIN,132,126,67,50,119,0,0,0
Seth Lugo,KCR,153.2,151,75,50,130,0,0,0
Luis Severino,ATH,167,168,86,53,134,0,0,0
Parker Messick,CLE,116,111,52,38,105,0,0,0
Logan Henderson,MIL,100.1,89,45,30,101,0,0,0
Kyle Freeland,COL,158.1,181,90,42,116,0,0,0
Mason Miller,SDP,64,39,18,24,98,33,4,2
Zack Littell,WSN,138.1,142,69,29,105,0,0,0
Mike Burrows,HOU,126,114,58,44,122,0,0,0
Jacob Lopez,ATH,125.1,110,60,50,128,0,0,0
Andre Pallante,STL,131,134,64,51,90,0,1,0
Nick Martinez,TBR,142,142,70,38,110,0,1,1
Zach Eflin,BAL,138.1,144,68,27,107,0,0,0
Max Meyer,MIA,125.1,123,60,41,114,0,0,0
Cade Smith,CLE,68.1,52,22,20,88,32,5,3
Ryan Weathers,NYY,122.2,111,54,41,118,0,0,0
Will Warren,NYY,123,116,59,44,123,0,0,0
Spencer Schwellenbach,ATL,65.2,59,26,14,64,0,0,0
Dean Kremer,BAL,131.1,128,64,40,112,0,0,1
Justin Steele,CHC,72.1,66,29,19,68,0,0,0
Jared Jones,PIT,82,74,36,27,85,0,0,0
Rhett Lowder,CIN,104.1,104,51,33,83,0,0,1
Grant Taylor,CHW,80.1,67,31,31,96,6,2,14
Grant Holmes,ATL,121.2,114,57,46,121,0,1,1
